time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-25T21:07:34.332Z,16.6775,79.8979,10,4.5,mb,,83,9.38,0.63,us,us60007fyl,2022-03-10T05:03:06.731Z,"32 km SW of Jaggayyapeta, India",earthquake,9.5,1.9,0.084,42,reviewed,us,us
2021-08-24T07:05:53.043Z,14.4654,83.0456,10,5.1,mb,,50,13.581,0.71,us,us7000f2x8,2021-12-02T01:09:45.327Z,"257 km SSE of R?zole, India",earthquake,10,1.7,0.051,122,reviewed,us,us
